Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct,Image,Explanation
How is phase 4 described for ventricular/Purkinje fibers in the slide text?,A rapid Ca2+-mediated upstroke throughout the event being tested in this slide set,A phase in which all pumps are inactive,A period in which ions are returned to their proper sides between beats,A prolonged plateau caused only by Na+,3,,"Phase 4 is the interval between action potentials. The slide emphasizes restoring or maintaining the proper ionic distributions during this period using the ATPase pump, Na+-Ca2+ exchanger, and Ca2+ pump."
Which mechanisms are listed on the ventricular/Purkinje slide as helping restore ionic distributions?,Temporal summation,Ca2+ pump,ATPase pump,Na+-Ca2+ exchanger,"2,3,4",,"The ATPase pump, Na+-Ca2+ exchanger, and Ca2+ pump all help return ions to their appropriate compartments between beats. The point of phase 4 here is recovery of ionic homeostasis after the ion movements of the preceding action potential."
Why is phase 2 called a plateau phase in the ventricular action potential?,The potential instantly returns to −90 mV,No ions cross the membrane during the phase,Only an external stimulus is present,Membrane potential stays relatively elevated for an extended interval,4,,"Phase 2 is the plateau because inward Ca2+ current and outward K+ current oppose one another. Instead of repolarizing immediately, the membrane remains depolarized for a prolonged interval."
How do the slides characterize the nodal-tissue action potential?,A slow action potential,A purely local potential,A fast skeletal-muscle spike only,A nonexcitable resting voltage,1,,Nodal tissue has a 'slow' action potential because its phase-0 upstroke depends mainly on Ca2+ influx rather than the rapid Na+ influx that produces the fast ventricular/Purkinje upstroke.
What feature gives nodal tissue self-activation according to the slides?,Continuous maximal K+ efflux,Diastolic depolarization,Permanent Na+ channel inactivation,A fixed −90 mV resting potential,2,,"Nodal cells do not remain at a stable resting potential. During diastole, the membrane slowly depolarizes on its own until threshold is reached, so the next action potential can begin without an external stimulus."
What resting leak is identified as contributing to nodal diastolic depolarization?,Protein leak out of the cell,Ca2+ leak out of the cell,Na+ leak into the cell,K+ leak into the cell only,3,,"The slide describes nodal tissue as leaky to Na+ at rest. Slow Na+ entry adds positive charge to the cell during diastole, gradually depolarizing the membrane toward threshold."
What property results from spontaneous diastolic depolarization in nodal tissue?,Permanent hyperpolarization,Complete refractoriness,Loss of excitability,Autorhythmicity,4,,"Because nodal cells slowly depolarize themselves between action potentials, they can reach threshold repeatedly without being triggered from outside. That self-generated rhythmic firing is autorhythmicity."
Around what membrane potential do the nodal gates open fully according to the slide?,About −40 mV,About −140 mV,About +70 mV,About −90 mV,1,,The slide gives approximately -40 mV as the level where the relevant nodal gates are fully open. Diastolic depolarization gradually brings the membrane from its more negative starting value toward this threshold region.
Which ion carries most of phase 0 in the nodal-tissue action potential?,Cl− efflux,Ca2+ influx,K+ influx,Na+ influx only,2,,"Nodal phase 0 is produced mainly by Ca2+ entering the cell. Because this upstroke relies on Ca2+ rather than the very rapid Na+ current of ventricular/Purkinje cells, the nodal action potential rises more slowly."
What ion movement produces phase 3 in nodal tissue?,Phosphate efflux,Na+ influx,K+ efflux,Ca2+ influx,3,,Nodal phase 3 is repolarization caused by K+ leaving the cell. Outward movement of positive charge returns the membrane toward a more negative voltage.
Why is the nodal phase-0 upstroke slower than the ventricular phase-0 upstroke in the slides?,Nodal cells have no ion channels,Ventricular cells use only K+ influx,Nodal cells begin from +35 mV,Nodal phase 0 depends mostly on Ca2+ influx rather than rapid Na+ influx,4,,"The ventricular/Purkinje upstroke is driven by rapid Na+ influx, whereas nodal phase 0 is mainly Ca2+ influx. The slide therefore describes nodal depolarization as a slow action potential."
How does the atrial action potential compare with the ventricular myocardial action potential?,It is very similar but smaller and shorter,It is identical in duration and amplitude,It consists only of a resting potential,It has no depolarization phase,1,,The atrial action potential follows the same general pattern as ventricular myocardium but is smaller and shorter. The slide especially emphasizes its shorter duration and shorter refractory period.
How does the atrial refractory period compare with the ventricular refractory period according to the slides?,It is much longer,It is shorter,It is always exactly equal,It is absent,2,,"Atrial phase 2 is shorter, so the overall action potential ends sooner. Because the refractory period is closely tied to the action-potential duration, the atrial refractory period is also shorter."
What major timing difference is shown when skeletal and cardiac electrical and mechanical activity are compared?,Skeletal muscle has a prolonged plateau identical to ventricular muscle,The skeletal action potential lasts hundreds of milliseconds longer than contraction,The cardiac action potential lasts much longer relative to contraction,Cardiac muscle has no refractory period during contraction,3,,The skeletal-muscle action potential is brief compared with its contraction. The cardiac action potential is much longer and overlaps much of the mechanical contraction because of the plateau.
"In the cardiac comparison figure, when does much of the mechanical response occur relative to the refractory period?",Before the action potential begins,Only after all refractoriness has ended,Only during resting phase 4,While the long refractory period is still present,4,,"In cardiac muscle, much of the contraction occurs while the cell is still refractory. The long electrical action potential therefore overlaps the mechanical response rather than ending long before it."
Which muscle type in the comparison figure shows the shorter electrical action potential?,Skeletal muscle,Neither produces an action potential,Both are the same duration,Cardiac ventricular muscle,1,,Skeletal muscle has the shorter electrical action potential in the comparison figure. Cardiac ventricular muscle has a prolonged action potential because of its plateau phase.
What type of smooth-muscle action potential is labeled A on the final slide?,A nodal pacemaker potential,A typical spike potential elicited by an external stimulus,A purely local synaptic potential,A ventricular plateau,2,,"Tracing A is a typical smooth-muscle spike triggered by an external stimulus. The membrane briefly depolarizes and then repolarizes, producing a single action-potential spike."
What produces the repetitive spike potentials labeled B on the final slide?,Permanent Na+-K+ pump inhibition,A single external stimulus only,Slow rhythmical electrical waves occurring spontaneously,Atrial phase 2 shortening,3,,The 'spike' is the fast rise and fall of the neuronal action potential. It is fast because voltage-gated Na+ and K+ channels change permeability over milliseconds. Slower voltage changes after the spike are described separately as after-potentials.
Where are the spontaneous slow waves in tracing B said to occur?,Ventricular myocardium,Skeletal muscle fibers,Purkinje fibers only,Smooth muscle of the intestinal wall,4,,The slide specifically identifies the intestinal wall as the smooth muscle showing spontaneous slow rhythmical electrical waves. Those slow waves can trigger repetitive spike potentials when they reach sufficient depolarization.
What type of smooth-muscle action potential is labeled C?,An action potential with a plateau,A resting membrane potential with no excitation,A purely subthreshold local potential,A ventricular phase-0 spike,1,,Tracing C is not just a brief spike; the membrane remains depolarized for a prolonged interval before repolarizing. That prolonged depolarized segment is the plateau.
From what tissue was the plateau-type smooth-muscle action potential in tracing C recorded?,A nodal cell,A uterine smooth muscle fiber,A Purkinje fiber,A skeletal muscle fiber,2,,The slide identifies tracing C as coming from uterine smooth muscle. Its defining electrical feature is a prolonged plateau rather than a simple brief spike.
A cell has a resting membrane potential near −70 mV and then rapidly depolarizes because Na+ permeability suddenly rises. Which process is being described?,Ventricular phase 2 plateau,Nodal phase 3,A nerve action potential upstroke,Smooth-muscle resting potential only,3,,"A sudden rise in Na+ permeability is the hallmark of the nerve action-potential upstroke. Na+ moves inward because it is concentrated outside and the cell interior is initially negative, so Vm rapidly becomes less negative."
A membrane is at rest and is far more permeable to K+ than Na+. Which equation shown in the slides is designed to combine both ion concentrations with their permeabilities?,Only the single-ion Nernst equation,ATPase stoichiometry equation,Threshold-duration equation,Goldman-Hodgkin-Katz equation,4,,"When more than one ion contributes to Vm, you need an equation that accounts for both concentration gradients and relative permeability. GHK does this, so the much larger K+ permeability is properly given more weight than Na+ permeability."
"If a membrane were permeable to only one ion, which concept identifies the voltage at which that ion would have no net diffusion?",Its Nernst equilibrium potential,Its plateau phase in the process shown on the slide,Its temporal summation value,Its refractory period,1,,"If only one ion mattered, the relevant voltage would be that ion's Nernst potential. At that voltage, the electrical force exactly opposes the concentration-gradient force, so the ion has no net diffusion."
Which statement best connects the Na+-K+ pump to the resting membrane potential?,It is irrelevant to ion gradients,It maintains the Na+ and K+ gradients and contributes a small direct electrogenic effect,It alone generates the entire resting potential instantaneously,It opens voltage-gated Na+ channels at threshold,2,,"The pump has two roles. Its major long-term role is maintaining high K+ inside and high Na+ outside; its smaller direct electrical role comes from moving 3 Na+ out for every 2 K+ in. Most of RMP itself still comes from passive ion diffusion, especially K+."
"A depolarizing stimulus opens voltage-gated Na+ channels, which increases Na+ influx and causes further depolarization. What type of control is this?",Negative feedback,No feedback,Positive feedback,Mechanical summation,3,,This is positive feedback because the initial depolarization creates a response—Na+ entry—that causes even more depolarization. The response amplifies the original change instead of opposing it.
"Depolarization opens voltage-gated K+ channels; K+ exits and the membrane repolarizes, opposing the original depolarization. What type of control is this?",Plateau conduction,Positive feedback,Temporal summation,Negative feedback,4,,"This is negative feedback because depolarization causes K+ efflux, and K+ efflux drives the voltage back in the negative direction. The response therefore opposes the original depolarization."
Why can no second action potential be triggered during the absolute refractory period?,The membrane is in a state in which excitation cannot be produced regardless of stimulus strength,The Na+-K+ pump has fully stopped during the state described in the question in this slide set in this slide set,The membrane is more excitable than normal,Every K+ channel has permanently disappeared,1,,"During the absolute refractory period, voltage-gated Na+ channels have not yet recovered from inactivation. A stronger stimulus cannot force an inactivated Na+ channel to reopen, so a second action potential is impossible."
A stronger-than-normal stimulus succeeds in triggering an action potential shortly after the absolute refractory period ends. Which period is this?,Absolute refractory period,Relative refractory period,Resting plateau,Diastolic depolarization,2,,"That describes the relative refractory period. Enough Na+ channels have recovered to permit another action potential, but the membrane is still less excitable than normal, so extra depolarization is needed."
Which event most directly explains the transition from depolarization toward repolarization in a nerve action potential?,Stopping all K+ movement,A sudden rise in intracellular protein permeability,Na+ channel inactivation together with increased K+ conductance,Further opening of Na+ activation gates only,3,,"The transition occurs when the balance of current switches. Na+ channels inactivate, reducing inward positive current, while delayed K+ channels open, increasing outward positive current. The net effect changes from depolarizing to repolarizing."
Which pair correctly matches action-potential type with its major phase-0 ion?,Ventricular/Purkinje: Cl−; nodal tissue: K+,Ventricular/Purkinje: Ca2+; nodal tissue: K+,Ventricular/Purkinje: K+; nodal tissue: Na+ as the main explanation given here,Ventricular/Purkinje: Na+; nodal tissue: Ca2+,4,,Fast ventricular/Purkinje phase 0 is driven by Na+ influx. Slow nodal phase 0 is driven mainly by Ca2+ influx. That ion difference explains the fast-versus-slow upstroke distinction.
Which action potential is described as self-activating because its membrane slowly depolarizes between impulses?,Nodal-tissue cardiac action potential,Atrial action potential only,Skeletal muscle action potential in the comparison figure,Typical large-nerve action potential,1,,Nodal tissue slowly depolarizes during diastole instead of sitting at a stable resting voltage. That spontaneous drift toward threshold allows the cell to repeatedly initiate its own action potentials.
Which phase of the ventricular/Purkinje action potential is most associated with the long plateau?,Phase 0,Phase 2,Phase 4,Phase 3,2,,Phase 2 is the plateau because Ca2+ influx counterbalances K+ efflux enough to hold the membrane potential at an elevated level for an extended time.
Which phase of the ventricular/Purkinje action potential is rapid repolarization?,Phase 4 throughout the event being tested,Phase 0,Phase 3,Phase 1,3,,Phase 3 is when K+ efflux dominates. Outward positive charge drives the membrane rapidly back toward its negative resting level.
Which phase of the ventricular/Purkinje action potential is rapid depolarization?,Phase 4,Phase 3,Phase 2,Phase 0,4,,Phase 0 is the fast upstroke. Rapid Na+ influx brings positive charge into the ventricular/Purkinje cell and sharply raises membrane potential.
Which statement best distinguishes a local potential from an action potential based on the slides?,"Local potentials can summate, whereas action potentials are all-or-none and propagate without decrement",Action potentials cannot propagate,Local potentials are always larger than action potentials,Only local potentials involve membrane voltage changes as the primary event in this diagram in this slide set,1,,"Local potentials are graded and can summate, so their size depends on the input. Action potentials require threshold, are all-or-none, and are regenerated during propagation so they do not decay with distance."
A stimulus produces a small depolarization that does not reach threshold. What would the threshold slide predict?,The membrane immediately reaches +132 mV,No full action potential is triggered,The cell enters a ventricular plateau,A full action potential must occur,2,,"A subthreshold depolarization remains a local graded response. It does not recruit enough voltage-gated Na+ channels for the regenerative positive-feedback loop, so no full action potential occurs."
A stronger stimulus produces a larger local depolarization before threshold is reached. Which property is this demonstrating?,Absolute refractoriness,All-or-none behavior of action potentials,Graded behavior of local potentials,Saltatory conduction,3,,"The correct answer is **Graded behavior of local potentials**. The important idea is that this item is testing how ion concentration, membrane permeability, channel state, or membrane voltage causes the next step in the process. Rather than memorizing the label alone, connect **Graded behavior of local potentials** to what happens immediately before it and what electrical or ionic change it produces immediately afterward."
Which statements about saltatory conduction are supported by the slides?,It conserves energy because only nodes depolarize,It requires every internodal segment to generate a full action potential,It occurs along myelinated axons with nodes of Ranvier,It increases transmission velocity,"1,3,4",,"Myelin separates the axon into insulated internodes and exposed nodes of Ranvier. Full depolarization is regenerated mainly at the nodes, so conduction is faster and fewer membrane regions undergo large ion fluxes, conserving energy."
Which statements about ventricular/Purkinje phase 2 are supported by the slides?,It is driven by rapid Na+ influx only,It is the plateau phase,Ca2+ moves inward,K+ moves outward,"2,3,4",,"Phase 2 is the plateau because inward Ca2+ current and outward K+ current oppose one another. Instead of repolarizing immediately, the membrane remains depolarized for a prolonged interval."
Which statements about nodal tissue are supported by the slides?,It has a stable −90 mV resting membrane potential with no spontaneous depolarization,Phase 0 is mainly Ca2+ influx,It shows diastolic depolarization,It is autorhythmic,"2,3,4",,"Nodal cells show spontaneous diastolic depolarization, which gives them autorhythmicity. When threshold is reached, phase 0 is produced mainly by Ca2+ influx, making the upstroke slower than the Na+-driven ventricular/Purkinje upstroke."
Which statements about refractory periods are correct according to the slides?,No stimulus can excite during the absolute refractory period,Excitability is maximal throughout the absolute period,A stronger-than-normal stimulus may excite during the relative refractory period,The relative period occurs before the absolute period,"1,3",,"The absolute period is a true no-fire interval: another action potential cannot occur. The relative period follows it; firing is possible again, but only with a stronger stimulus because excitability has not fully returned."
"In the ion-distribution figure, which approximate extracellular Na+ concentration is shown?",About 4 mEq/L,About 140 mEq/L of K+,About 10 mEq/L,About 142 mEq/L,4,,"The figure shows extracellular Na+ at about 142 mEq/L, much higher than the intracellular value of about 10 mEq/L. This large outside-to-inside gradient strongly favors Na+ entry whenever Na+ channels open."
"In the ion-distribution figure, which approximate intracellular K+ concentration is shown?",About 140 mEq/L,About 142 mEq/L,About 10 mEq/L,About 4 mEq/L,1,,"The figure shows intracellular K+ at about 140 mEq/L, compared with only about 4 mEq/L outside. Because K+ is so concentrated inside, opening K+ channels creates a strong tendency for K+ to leave the cell."
"In the ion-distribution figure, which approximate extracellular K+ concentration is shown?",About 142 mEq/L,About 4 mEq/L,About 140 mEq/L,About 103 mEq/L,2,,"Extracellular K+ is only about 4 mEq/L, whereas intracellular K+ is about 140 mEq/L. That steep gradient is why K+ tends to diffuse outward through open K+ channels."
"In the ion-distribution figure, which approximate intracellular Na+ concentration is shown?",About 142 mEq/L,About 4 mEq/L,About 10 mEq/L,About 140 mEq/L,3,,"Intracellular Na+ is about 10 mEq/L, far below the extracellular value of about 142 mEq/L. Therefore, when Na+ channels open, the concentration gradient strongly favors Na+ moving into the cell."
"In the ion-distribution figure, approximately how does extracellular Ca2+ compare with intracellular Ca2+?",Intracellular Ca2+ is vastly higher,The figure shows no calcium difference,They are approximately equal,Extracellular Ca2+ is vastly higher,4,,"The figure shows an enormous Ca2+ concentration difference: Ca2+ is much higher outside than inside. That produces a very strong tendency for Ca2+ to enter whenever Ca2+ channels open, which is why the Ca2+ equilibrium potential is strongly positive."
Which side of the membrane contains much more protein according to the distribution figure?,Intracellular fluid,Extracellular fluid,Proteins are absent from both compartments,Both contain exactly the same amount,1,,The intracellular fluid contains much more protein. Those proteins are important electrically because many carry negative charge and cannot simply diffuse out through ordinary ion channels. They therefore help keep the cell interior negative when positive ions leave.
What approximate intracellular protein concentration is shown in the distribution figure?,About 35 g/dL,About 16 g/dL,About 2 g/dL,About 0.5 g/dL,2,,"The figure gives intracellular protein at about 16 g/dL, much higher than outside. The key point is not only the number: intracellular proteins are relatively trapped and negatively charged, so they contribute to the negative intracellular environment."
What approximate extracellular protein concentration is shown in the distribution figure?,About 40 g/dL,About 0.0001 g/dL,About 2 g/dL,About 16 g/dL,3,,"The figure gives extracellular protein at about 2 g/dL, far below the intracellular protein concentration. This asymmetry contributes to the difference in fixed negative charge between the two compartments."
What is the usual resting polarity of an inactive excitable cell?,Polarity alternates every millisecond at rest,Inside positive relative to outside,No voltage difference exists,Inside negative relative to outside,4,,"At rest, the inside of the cell is negative relative to the outside. The slides explain this mainly by K+ leaving through K+ channels while negatively charged intracellular proteins remain trapped inside. The result is a net negative interior."
Which ion is most important for maintaining the resting membrane potential because of high resting permeability?,K+,Ca2+,Na+,Phosphate,1,,"K+ dominates the resting membrane potential because the resting membrane has far more K+ permeability than Na+ permeability. That means K+ can move across the membrane much more readily, so its concentration gradient has the strongest effect on resting voltage."
What happens to membrane voltage when inward Na+ current exceeds outward K+ current at threshold?,The membrane instantly hyperpolarizes,Depolarization accelerates through positive feedback,The cell returns to resting voltage throughout the event being tested,The plateau ends immediately,2,,"When inward positive Na+ current becomes greater than outward K+ current, the net current is inward. Vm therefore becomes more positive, which activates still more Na+ channels and rapidly accelerates depolarization."
Which event corresponds most closely to the peak/overshoot region of a nerve action potential?,The membrane is at its resting −70 mV,The cell is in phase 4 of a cardiac nodal action potential,The membrane potential is positive relative to 0 mV,Only the Na+-K+ pump is active,3,,"Overshoot is the part of the action potential above 0 mV. During this brief period, the inside of the membrane has become positive relative to the outside because inward Na+ current has driven the voltage past zero."
Which event follows the rapid spike in the neuronal action-potential tracing?,Immediate loss of all K+ permeability,Only spatial summation,A permanent plateau at +35 mV,Repolarization and possible after-potentials,4,,"After the rapid depolarization and repolarization, the membrane can show slower after-potentials before fully returning to baseline. These are separate from the main spike and reflect the slower normalization of membrane conductances."
What does increased PK mean in the K+ negative-feedback diagram?,Increased membrane permeability to K+,Increased permeability to Na+,Increased pump ATP consumption only,Increased intracellular protein concentration,1,,"PK means potassium permeability. An increase in PK means the membrane has become easier for K+ to cross, so outward K+ movement increases and the membrane tends to repolarize."
What does increased PNa mean in the Na+ positive-feedback diagram?,Increased refractory duration,Increased membrane permeability to Na+,Increased K+ concentration inside,Increased membrane thickness as the primary event in this diagram,2,,"PNa means sodium permeability. An increase in PNa lets Na+ enter the cell more readily, adding positive charge to the interior and promoting depolarization."
Which process directly restores the negative membrane potential during nerve repolarization?,Inward Na+ diffusion,Inward protein diffusion,Outward K+ diffusion,Outward Ca2+ plateau current,3,,"K+ leaves the cell through open K+ channels. Every K+ that exits carries positive charge out of the interior, so the inside becomes negative again. That outward K+ current is the main electrical event of repolarization."
Why does the Na+ activation gate not stay open throughout the entire action potential?,The channel is removed from the membrane instantly,K+ physically blocks the activation gate from outside,The activation gate converts into a pump,The slower inactivation gate closes after activation,4,,"The Na+ channel contains a separate inactivation mechanism. Depolarization opens the activation gate rapidly, but shortly afterward the inactivation gate closes, ending Na+ entry even though the membrane is still depolarized."
Which statement about the K+ channel is most consistent with the slide timing?,Its opening is delayed relative to rapid Na+ activation,It is closed throughout the action potential,It opens fully before any Na+ channel responds,It never contributes to repolarization,1,,"K+ channels respond more slowly than Na+ activation gates. That delay allows a rapid Na+-driven upstroke first, followed by a later K+-driven repolarization."
Which process occurs after an action potential to restore ionic gradients even though the membrane voltage can repolarize before full gradient restoration?,Loss of all intracellular K+,Increased Na+-K+ pump activity,Continuous Ca2+ plateau current,Permanent Na+ channel activation,2,,"The membrane voltage can repolarize quickly because of channel currents, but that does not instantly restore the original Na+ and K+ concentrations. The Na+-K+ pump then moves Na+ back out and K+ back in to rebuild the gradients."
What is the relationship between threshold and the all-or-none property?,Once threshold is crossed the action potential becomes smaller,Threshold applies only to the Na+-K+ pump,Crossing threshold triggers the full action potential,Threshold determines the height of every graded local potential only,3,,"Threshold marks the point at which inward Na+ current becomes self-reinforcing. Below threshold, the response stays graded; above threshold, the regenerative channel sequence runs to completion and produces a full action potential."
"In a branched nerve fiber undergoing continuous conduction, what happens once an action potential starts?",Propagation stops at every branch point,Only the stimulated point can depolarize,The potential becomes a local nonpropagated signal,Excitation can spread along the branches away from the stimulus,4,,"Current from an active region spreads into the neighboring resting membrane and depolarizes it. Once that neighboring region reaches threshold, it generates its own action potential. Repeating this process produces continuous propagation along the membrane and into branches."
What feature of myelin is functionally emphasized by the saltatory-conduction slide?,Internodal regions do not need to depolarize fully,Myelin creates the action potential inside the nucleus,Myelin makes conduction entirely chemical,Myelin removes nodes of Ranvier,1,,"Myelin reduces the need for full depolarization of the internodal membrane. The action potential is instead regenerated at nodes, which both speeds conduction and reduces the amount of ion pumping needed afterward."
Which phase immediately follows the plateau phase in ventricular/Purkinje fibers?,Phase 4 diastolic depolarization,Phase 3 rapid repolarization,Phase 0 rapid depolarization,Phase 1 threshold summation,2,,"The plateau is phase 2. It is followed by phase 3, when outward K+ current dominates and the membrane rapidly repolarizes."
Which phase comes between phase 0 and phase 2 in the ventricular/Purkinje action potential?,Phase 4,No phase lies between them,Phase 1,Phase 3,3,,Phase 0 is the rapid upstroke caused by rapid Na+ influx. A sudden increase in Na+ permeability brings positive charge into the cell and rapidly depolarizes the membrane.
Which cardiac action potential has a spontaneous pacemaker potential rather than a stable flat phase 4?,Atrial myocardium only,Purkinje fast-response fiber as drawn,Ventricular myocardium,Nodal tissue,4,,"Nodal phase 4 is not flat. The membrane potential slowly becomes less negative until threshold is reached again, which is why nodal cells act as pacemaker cells in the slide."
The atrial action potential is shorter mainly in which sense shown on the slide?,Its overall duration and refractory period are shorter than the ventricular action potential,Its resting membrane potential is always positive,Its phase 0 is absent in the process shown on the slide in this slide set in this slide set in this slide set,It has a longer plateau than the ventricle,1,,The atrial waveform is both smaller and shorter than the ventricular waveform. Its shorter phase 2 means the refractory period is also shorter.
Which tracing on the smooth-muscle slide demonstrates spontaneous repetitive spikes linked to slow waves?,Tracing A,Tracing B,Tracing C,None of the tracings,2,,Tracing B is the repetitive pattern generated when spontaneous slow waves in intestinal smooth muscle repeatedly reach the level needed to produce spike potentials.
Which tracing on the smooth-muscle slide demonstrates a plateau action potential?,All three equally,Tracing A,Tracing C,Tracing B,3,,"Tracing C has the prolonged depolarized phase characteristic of a plateau action potential, rather than the single brief spike of tracing A."
Which tracing on the smooth-muscle slide is produced by an external stimulus?,Tracing B only,Neither A nor B nor C,Tracing C only,Tracing A,4,,"Tracing A is the single typical smooth-muscle spike produced by an external stimulus. Tracing B is spontaneous slow-wave-associated firing, and C is the plateau-type waveform."
"In the integrated action-potential/refractory figure, when are Na+ channels shown as inactivated while K+ channels are open?",During the falling phase associated with repolarization,Only after full recovery of excitability,At resting baseline before stimulation,During the stable ventricular plateau,1,,"This combination occurs during the falling phase of the action potential. Na+ inactivation removes the inward depolarizing current while open K+ channels create outward current, so the membrane repolarizes."
"According to the integrated figure, which ion's permeability rises first during the nerve action potential?",K+ permeability,Na+ permeability,Protein permeability,Ca2+ permeability,2,,"Na+ permeability rises first and very rapidly. That produces the action-potential upstroke. K+ permeability rises later, so K+ contributes more to repolarization than to the initial depolarization."
"According to the integrated figure, which ion's permeability peaks later and more broadly?",Phosphate permeability,Na+ permeability,K+ permeability,Protein permeability,3,,"K+ permeability has a delayed, broader rise. Because it remains elevated after the Na+ permeability peak has fallen, outward K+ current drives repolarization and can contribute to after-hyperpolarization."
Which variable is the key distinction between the Nernst and GHK approaches shown in the slides?,Nernst applies only to mechanical stimuli,GHK ignores ion concentration,Nernst includes muscle tension while GHK does not,GHK includes relative permeability of multiple ions,4,,Nernst is a one-ion equation: it gives the equilibrium potential for a single ion. GHK is a multi-ion equation: it combines several ions and gives more weight to the ions for which the membrane is more permeable.
Why is the resting membrane potential closer to the K+ equilibrium potential than the Na+ equilibrium potential?,Resting K+ permeability is much greater than resting Na+ permeability,Na+ has no concentration gradient,Na+ and K+ have identical permeabilities,K+ cannot cross the membrane at rest,1,,"Membrane voltage is pulled most strongly toward the equilibrium potential of the ion with the greatest permeability. At rest, PK is much larger than PNa, so Vm sits much closer to the negative K+ equilibrium potential than to the positive Na+ equilibrium potential."
What is the central idea of the slide's RMP summary?,Membrane voltage requires equal ion concentrations on both sides,"K+ leaves down its gradient while fixed negative intracellular proteins remain, producing a negative interior",Na+ influx at rest makes the cell interior positive,The Na+-K+ pump alone creates the full membrane potential instantly throughout the event being tested in this slide set,2,,"The core idea is selective K+ loss: K+ is high inside, can leave through K+ channels, and its departure removes positive charge. Negatively charged proteins remain trapped inside, so the interior becomes negative. The Na+-K+ pump is essential for maintaining the K+ and Na+ gradients that allow this process to continue."
