Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct,Image,Explanation
What smooth-muscle structure is functionally analogous to the Z disc as an actin attachment site?,Dense body,Intercalated disc,Triad,Motor end plate,1,,"Dense bodies contain alpha-actinin and anchor thin filaments, functioning similarly to Z discs."
Which protein is found in smooth muscle dense bodies and anchors thin filaments?,Alpha-actinin,Myoglobin,Laminin,Troponin C,1,,"Dense bodies contain alpha-actinin, the actin-binding protein also present at Z discs."
Which intermediate filament protein attaches to smooth muscle dense bodies?,Collagen IV,Tropomyosin,Desmin,Dystrophin,3,,Smooth muscle has a network of 10-nm intermediate filaments composed largely of desmin that attach to dense bodies.
What is the mechanical role of dense bodies in smooth muscle?,Transmit contractile force within the cell and between adjacent cells,Generate action potentials in motor neurons,Synthesize collagen exclusively,Store acetylcholine,1,,Dense bodies anchor contractile and intermediate filaments and help transmit force through the tissue.
What happens to the smooth muscle nucleus during contraction?,It disappears,It becomes distorted and may appear corkscrew-shaped,It divides during every contraction,It moves to the cell periphery permanently as the primary mechanism in this tissue,2,,"Because smooth muscle filaments run obliquely, cell shortening twists the cell and can give the nucleus a corkscrew appearance."
Which junctions electrically couple many smooth muscle cells?,Motor end plates,Gap junctions,Hemidesmosomes only,Fascia adherentes only,2,,Numerous gap junctions allow stimulation to spread so groups of smooth muscle cells contract in a coordinated way.
How are many autonomic nerves arranged near smooth muscle?,Axons end at Z discs,Each cell has a large skeletal-type motor end plate,Axons have varicosities that release transmitter near multiple cells,Nerves are absent,3,,Autonomic axons passing through smooth muscle contain periodic varicosities that release neurotransmitter without a highly specialized NMJ.
Which neurotransmitters are commonly released from autonomic varicosities in smooth muscle according to the chapter?,Acetylcholine or norepinephrine,Troponin and tropomyosin,Atrial natriuretic factor and histamine,Only dopamine and serotonin,1,,Smooth muscle autonomic varicosities commonly release acetylcholine or norepinephrine.
Which organ-system walls commonly contain smooth muscle?,Only skeletal bones,Only central nervous system ventricles,Only tendons and ligaments,"Blood vessels and digestive, respiratory, urinary, and reproductive tracts",4,,Smooth muscle is a major component of vessel walls and the hollow viscera of multiple organ systems.
What coordinated smooth muscle activity moves contents through the intestine?,Hypertrophy,Peristalsis,Tetany,Rigor mortis,2,,Coordinated contraction of smooth muscle layers produces peristaltic waves that move intestinal contents.
"Besides contracting, what extracellular-matrix components can smooth muscle cells synthesize?",Only atrial natriuretic factor during the process described in the chapter,Only myosin heads,"Collagen, elastin, and proteoglycans",Only acetylcholine receptors,3,,"Smooth muscle cells can supplement fibroblast activity by synthesizing collagen, elastin, and proteoglycans."
Select features characteristic of smooth muscle.,Sarcomeres with Z discs,Caveolae,Numerous gap junctions,Dense bodies,"2,3,4",,Smooth muscle uses dense bodies and caveolae and is commonly coupled by gap junctions; it lacks sarcomeres and Z discs.
What is the main source of regenerating cells in injured skeletal muscle?,Fibroblasts converting directly into myosin filaments,Satellite cells,Mature multinucleated fibers dividing by mitosis,Cardiac pacemaker cells,2,,"Skeletal muscle has limited regeneration because satellite cells can activate, proliferate, and fuse to form new fibers."
Why can't mature skeletal muscle fibers themselves simply divide by mitosis after injury?,They are highly differentiated multinucleated cells,They contain no DNA,They lack a sarcolemma,They are outside the body,1,,Mature skeletal muscle fibers do not undergo ordinary mitosis; repair instead depends on satellite cells.
What can interfere with skeletal muscle regeneration after major traumatic injury?,Excess formation of intercalated discs,Scarring and excessive connective tissue growth,ANF secretion,Too many T-tubules,2,,Extensive injury can lead to scar formation and connective tissue growth that limits effective muscle regeneration.
What generally replaces damaged adult cardiac muscle after infarction?,Hyaline cartilage,Dense bodies,Connective tissue scar,New cardiac fibers from abundant satellite cells,3,,"Because adult cardiac muscle has very poor regenerative capacity, injury is generally replaced by fibrous scar tissue."
Why can smooth muscle regenerate more effectively than cardiac muscle?,Smooth muscle has many satellite cells identical to skeletal muscle,Smooth muscle lacks nuclei,Cardiac muscle divides more rapidly,Viable smooth muscle cells can reenter mitosis,4,,Smooth muscle cells are smaller and less terminally differentiated and can undergo mitosis after injury.
Which adult muscle type has the best regenerative capacity among the three?,Skeletal muscle,All are equal,Cardiac muscle,Smooth muscle,4,,Smooth muscle shows active regeneration because surviving smooth muscle cells can divide.
Which adult muscle type has limited regeneration that depends mainly on reserve progenitor cells?,Tendon,Smooth muscle,Skeletal muscle,Cardiac muscle,3,,Skeletal muscle regeneration is limited and depends largely on satellite cells.
Myasthenia gravis is caused by an autoimmune response against proteins associated with which structure?,Acetylcholine receptors at the neuromuscular junction,Myosin in the M line,Collagen in tendon,ANF granules in atrial cells,1,,The provided material describes myasthenia gravis as an autoimmune disorder with antibodies against acetylcholine receptor proteins.
What functional consequence results from acetylcholine-receptor antibodies in myasthenia gravis?,Permanent shortening of the A band,Excess calcium storage in tendon,Increased ANF secretion,Interference with acetylcholine activation of its receptor,4,,"Antibody binding interferes with activation of acetylcholine receptors, impairing neuromuscular transmission."
What symptom pattern is specifically described for myasthenia gravis in the provided material?,Persistent painful uterine bleeding,Intermittent periods of skeletal muscle weakness,Progressive bone fractures,Fixed calf hypertrophy without weakness,2,,The slides and text specifically describe intermittent skeletal muscle weakness.
Which muscles are commonly the first affected in myasthenia gravis according to the material?,Postural back muscles only,Extraocular muscles,Uterine smooth muscle,Ventricular myocardium,2,,The extraocular muscles of the eyes are commonly the first affected.
How does the disease course of myasthenia gravis change over time in the provided material?,It is limited to a single cardiac event,It is described as congenital and nonprogressive,It follows a progressive course,It always resolves after one episode,3,,The provided text states that the disease follows a progressive course as newly formed receptors can again become antibody targets.
What happens to junctional folds containing affected receptors in myasthenia gravis?,They are internalized and digested by lysosomes,They move into the H zone,They become tendon collagen,They transform into Z discs,1,,"The chapter explains that affected receptor-containing junctional folds are internalized and digested, then replaced by newly formed receptors."
"A patient has intermittent skeletal muscle weakness, and the extraocular muscles were affected first. Which disorder best matches the provided material?",Cardiac ischemic injury,Myasthenia gravis,Leiomyoma,Duchenne muscular dystrophy,2,,Intermittent weakness with early extraocular involvement is the clinical pattern given for myasthenia gravis.
Which protein is defective in Duchenne muscular dystrophy according to the provided material?,Calmodulin in the adult tissue described,Desmin,Myomesin,Dystrophin,4,,Duchenne muscular dystrophy results from mutations in the dystrophin gene.
What is the normal role of dystrophin emphasized in the chapter?,Help link the cytoskeleton to the extracellular matrix and organize myofibrils,Store acetylcholine,Bind calcium in smooth muscle during ordinary muscle function in this context in this context,Form gap junction channels,1,,Dystrophin is an actin-binding protein near the sarcolemma that contributes to myofibril organization and cytoskeleton-ECM linkage.
How do dystrophin mutations damage muscle fibers?,They block ANF secretion,They turn thick filaments into collagen,They weaken cytoskeleton-ECM linkages that can be disrupted by contraction,They prevent all actin synthesis,3,,"Weak dystrophin-dependent linkages are vulnerable to mechanical stress during contraction, contributing to fiber damage and atrophy."
Which inheritance pattern is specified for Duchenne muscular dystrophy in the slide vignette?,Autosomal dominant,X-linked recessive,Mitochondrial,Y-linked,2,,The slide vignette explicitly identifies Duchenne muscular dystrophy as an X-linked recessive disease.
"A 5-year-old boy tires easily, has enlarged calf muscles, elevated creatine kinase, and biopsy evidence of necrosis, regeneration, and fibrosis. Which protein is mutated?",Laminin,Dystrophin,Myomesin,Troponin C,2,,"The slide vignette describes Duchenne muscular dystrophy with calf enlargement, elevated CK, necrosis, regenerating fibers, and fibrosis; the mutated protein is dystrophin."
Which biopsy findings are included in the provided Duchenne muscular dystrophy vignette?,Only normal fibers with no fibrosis,"Muscle fiber necrosis, regenerating fibers, and fibrosis",Isolated cardiac intercalated-disc loss,Pure smooth muscle hyperplasia,2,,"The slide vignette specifically lists muscle fiber necrosis, regenerating fibers, and fibrosis."
Which clinical sign is specifically included in the Duchenne vignette?,Calf muscle enlargement,First-onset extraocular weakness only,Unexpected uterine bleeding,Atrial natriuresis,1,,The vignette describes enlargement of the child's calf muscles.
Which laboratory abnormality is specifically included in the Duchenne vignette?,High atrial natriuretic factor only,Absent calcium,Low serum creatine kinase,Elevated serum creatine kinase,4,,The slide vignette explicitly reports elevated serum creatine kinase.
What is the most common injury sustained by cardiac muscle according to the material?,Ischemic injury,Tendon rupture,Dystrophin-linked smooth muscle injury,Autoimmune acetylcholine-receptor injury,1,,"The chapter and slide identify ischemia from inadequate oxygen delivery, often due to coronary artery occlusion, as the most common cardiac muscle injury."
What does ischemia mean in the cardiac-muscle clinical application?,Autoimmune destruction of ACh receptors,Tissue damage due to lack of oxygen,Excessive smooth muscle mitosis,Excess oxygen delivery,2,,The provided material defines ischemia as tissue damage resulting from lack of oxygen.
What vascular event is described as causing cardiac ischemia in the material?,Occlusion of coronary arteries by heart disease,Occlusion of tendon vessels only,Blockage of acetylcholine receptors,Rupture of skeletal T-tubules,1,,"The slide links cardiac ischemia to coronary artery occlusion, reducing oxygen delivery to myocardium."
Why does adult cardiac muscle typically form a scar after ischemic injury?,It has excessive satellite-cell division during the process described in the chapter,It lacks satellite cells and has little regenerative capacity,Its myosin never hydrolyzes ATP,It has no connective tissue,2,,"Adult cardiac muscle lacks the satellite-cell reserve used by skeletal muscle, so damaged myocardium is generally replaced by fibrous scar."
What type of tumor is a leiomyoma?,A benign tumor of smooth muscle,A cardiac conduction defect,A malignant tumor of skeletal muscle,An autoimmune NMJ disorder,1,,The provided medical application describes leiomyomas as benign tumors arising from smooth muscle fibers.
Where do leiomyomas most commonly occur according to the material?,Achilles tendon,Wall of the uterus,Ventricular myocardium,Extraocular muscle,2,,"Leiomyomas commonly develop in the uterine wall, where they are often called fibroids."
What common name is used for uterine leiomyomas?,Triads,Myotubes,Sarcomeres,Fibroids,4,,Uterine leiomyomas are commonly called fibroids.
Which symptoms are specifically attributed to sufficiently large uterine leiomyomas in the provided material?,Loss of cardiac rhythm only,Painful pressure and unexpected bleeding,Calf enlargement and elevated CK,Intermittent extraocular weakness under normal conditions,2,,The material states that large uterine fibroids can produce painful pressure and unexpected bleeding.
A patient has a benign smooth muscle tumor in the uterine wall causing painful pressure and unexpected bleeding. What is the diagnosis?,Duchenne muscular dystrophy,Myasthenia gravis,Cardiac ischemia,Leiomyoma,4,,"A benign smooth muscle tumor of the uterus with pressure and bleeding matches a uterine leiomyoma, or fibroid."
"On longitudinal histology, which muscle type is most likely to show obvious striations and multiple peripheral nuclei?",Dense regular connective tissue,Skeletal muscle,Cardiac muscle,Smooth muscle,2,,Skeletal muscle fibers show clear cross-striations and many nuclei at the periphery.
"On histology, which muscle type is most likely to show branching fibers, central nuclei, and intercalated discs?",Tendon,Smooth muscle,Cardiac muscle,Skeletal muscle,3,,Branching striated cells with central nuclei and intercalated discs identify cardiac muscle.
"On histology, which muscle type is most likely to show closely packed spindle-shaped cells with elongated central nuclei and no striations?",Cardiac muscle,Bone,Skeletal muscle,Smooth muscle,4,,Smooth muscle is composed of tightly packed fusiform cells with central elongated nuclei and no striations.
"In a transverse section of skeletal muscle, what structure is enclosed by perimysium?",A sarcomere,A fascicle,A single myofibril,A motor end plate,2,,"Perimysium surrounds a group of skeletal muscle fibers, forming a fascicle."
"In a transverse section of skeletal muscle, what directly surrounds each individual polygonal muscle fiber?",Epimysium,Perimysium,Endomysium,M line,3,,Each skeletal muscle fiber is enclosed by delicate endomysial connective tissue.
The arrows in a special stain show branching nerve terminals ending in clustered structures on skeletal muscle fibers. What structure do they represent?,Dense bodies,Intercalated discs,Motor end plates,Golgi tendon organs,3,,The slide's stained skeletal muscle image identifies branching motor axons ending at motor end plates.
A histologic field shows a circled bundle containing many skeletal muscle fibers. What level of organization is most likely circled?,Single myofibril,One sarcomere,Individual myofilament,Muscle fascicle,4,,"A fascicle is a bundle of many muscle fibers surrounded by perimysium, matching the scale shown in the slide vignette."
Which muscle type is innervated by somatic motor neurons rather than autonomic efferents?,Cardiac muscle,Skeletal muscle,Both cardiac and smooth only,Smooth muscle,2,,"The comparison table lists skeletal muscle efferent innervation as motor, while cardiac and smooth muscle are autonomically regulated."
Which muscle type commonly uses autonomic innervation but also has intrinsic pacemaker activity?,Dense irregular connective tissue,Tendon,Cardiac muscle,Skeletal muscle,3,,"Cardiac contraction is intrinsic at conducting nodes, while autonomic nerves modify the rate."
"Which muscle type often has slow, spontaneous, wave-like rhythmic contractions?",Tendon,Skeletal muscle,Only type IIb skeletal muscle,Smooth muscle,4,,"The muscle comparison table describes smooth muscle contraction as partial, slow, often spontaneous, wavelike, and rhythmic."
Which muscle type has a well-developed sarcoplasmic reticulum with triads?,All three equally,Smooth muscle,Cardiac muscle,Skeletal muscle,4,,Skeletal muscle has the most highly organized SR and triad system.
Which muscle type has dyads rather than triads?,Tendon,Smooth muscle,Cardiac muscle,Skeletal muscle,3,,"Cardiac T-tubules usually associate with one terminal SR cistern, producing dyads."
Which muscle type lacks both sarcomeres and a transverse tubule system?,Both skeletal and cardiac,Cardiac muscle,Skeletal muscle,Smooth muscle,4,,Smooth muscle has no sarcomeres and no T-tubules; calcium-related membrane signaling is associated with caveolae.
Which pair of muscle types has centrally located nuclei?,Skeletal and smooth muscle,Only skeletal muscle,Skeletal and cardiac muscle,Cardiac and smooth muscle,4,,"Cardiac and smooth muscle typically have central nuclei, whereas skeletal muscle nuclei are peripheral."
Which muscle types are under involuntary control?,Cardiac muscle,Smooth muscle,Tendon,Skeletal muscle,"1,2",,Cardiac and smooth muscle are involuntary. Skeletal muscle is usually under voluntary control.
Select structures that directly participate in excitation-contraction coupling in skeletal muscle.,Perimysium,Terminal cisternae of the SR,Calcium ions,T-tubules,"2,3,4",,"T-tubules carry depolarization inward, terminal SR cisternae release calcium, and calcium activates the troponin-tropomyosin system."
Select proteins that directly regulate contraction in skeletal muscle thin filaments.,Tropomyosin,Collagen I,Troponin C,Troponin I,"1,3,4",,Troponin subunits and tropomyosin regulate exposure of myosin-binding sites on actin; collagen is extracellular connective tissue.
Select statements supported by the provided material about muscle regeneration.,Adult cardiac muscle has abundant satellite cells,Skeletal muscle regeneration is limited,Smooth muscle cells can undergo mitosis after injury,Cardiac muscle regeneration is very poor,"2,3,4",,"Skeletal muscle uses satellite cells, cardiac muscle has little regeneration, and smooth muscle can regenerate by mitosis."
What is the approximate resting length of a skeletal muscle sarcomere given in the chapter?,About 2.5 μm,About 250 μm,About 0.025 μm,About 25 μm,1,,The chapter describes a resting skeletal muscle sarcomere as about 2.5 μm long.
What are the approximate diameters of skeletal muscle fibers given in the chapter?,About 1-2 nm,About 1-10 mm,About 0.1-1 μm,About 10-100 μm,4,,Skeletal muscle fibers are described as 10-100 μm in diameter.
What is the approximate length of a skeletal muscle thick filament?,About 0.015 μm,About 1.5 μm,About 150 μm,About 15 μm,2,,The chapter states that skeletal muscle thick myosin filaments are about 1.5 μm long.
What is the approximate length of a skeletal muscle thin filament?,About 10 μm,About 0.1 nm,About 1.0 μm,About 100 μm,3,,The chapter describes thin actin filaments as about 1.0 μm long.
Which two collagen types are specifically noted in the skeletal muscle connective tissue sheaths?,Types I and III,Types II and IV only,No collagen is present,Types V and VII only,1,,"The textbook figure description states that epimysium, perimysium, and endomysium contain collagen types I and III."
What is the function of myoglobin in skeletal muscle fibers?,Break down acetylcholine,Anchor actin to Z discs,Store oxygen,Phosphorylate myosin light chains,3,,Myoglobin is an iron-containing sarcoplasmic protein related to hemoglobin that allows oxygen storage.
What histochemical property is used in the chapter to distinguish fast and slow skeletal muscle fibers?,Myosin ATPase activity,ANF granule number,Collagen birefringence during ordinary muscle function,Laminin content only,1,,Histochemical staining for different myosin ATPase activities helps identify slow and fast fiber types.
Which skeletal muscle fiber type has high myosin ATPase activity but intermediate oxidative/glycolytic characteristics?,Smooth muscle,Type I slow oxidative,Type IIb only,Type IIa fast oxidative-glycolytic,4,,Type IIa fibers have high myosin ATPase activity and intermediate metabolic features.
Which skeletal muscle fiber type fatigues most rapidly?,Cardiac muscle,Type I slow oxidative,Type IIa fast oxidative-glycolytic,Type IIb fast glycolytic,4,,Fast glycolytic fibers rely heavily on anaerobic glycolysis and fatigue rapidly.
Which skeletal muscle fiber type is most resistant to fatigue?,All are equally resistant,Type IIa only,Type IIb fast glycolytic,Type I slow oxidative,4,,"Type I fibers are adapted for prolonged activity with abundant mitochondria, capillaries, and oxidative metabolism."
What accumulates during intense glycolytic activity and is associated with rapid fatigue of fast glycolytic fibers in the chapter?,Lactic acid,Acetylcholine receptors,Collagen IV,Atrial natriuretic factor,1,,The chapter links rapid fatigue of fast glycolytic fibers with lactic acid produced by glycolysis.
"In smooth muscle, how are thick and thin filaments oriented compared with the long axis of the cell?",They form perfectly transverse sarcomeres,They lie only inside the nucleus,They crisscross obliquely,They are absent,3,,"Smooth muscle contractile filaments run at oblique angles, producing a twisting shortening pattern."
Which structural change can be seen at the border of a contracted smooth muscle cell?,The membrane forms intercalated discs,All caveolae disappear,The cell becomes multinucleated,The border becomes scalloped,4,,The text notes that smooth muscle cell borders become scalloped during contraction.
Why can many smooth muscle cells contract synchronously even without well-defined neuromuscular junctions?,All cells share one nucleus,Each cell is directly innervated by a somatic motor neuron,T-tubules connect neighboring cells,Gap junctions propagate stimulation between cells,4,,"Autonomic transmitter can act on multiple cells, and gap junctions propagate excitation to coordinate contraction."
"In smooth muscle of the digestive tract, which two layer orientations commonly work together to produce peristalsis?",Outer circular and inner skeletal layers,Epimysium and tendon,Inner circular and outer longitudinal layers,Two cardiac muscle layers,3,,The chapter figure describes coordinated inner circular and outer longitudinal smooth muscle layers producing peristaltic waves.
What feature of smooth muscle cross sections explains why many cell profiles appear to lack a nucleus?,Smooth muscle cells often truly lack nuclei in the adult tissue described,Nuclei stain only in cardiac muscle,Nuclei are lost during contraction,Only sections through the widest central part include the nucleus,4,,"Because spindle-shaped cells taper, only sections through the central widest region pass through the nucleus."
Which muscle type has the least amount of extracellular connective tissue between tightly packed cells?,Cardiac muscle,Smooth muscle,Skeletal muscle,Tendon,2,,The introductory figure notes that dense packing of smooth muscle cells reflects the small amount of extracellular connective tissue.
What function do reticulin fibers associated with smooth muscle external laminae serve?,Generate pacemaker impulses,Form thick myofilaments,Help hold cells together as a functional unit during slow rhythmic contraction,Release acetylcholine,3,,The chapter explains that reticulin around smooth muscle helps keep cells mechanically integrated during coordinated contractions.
What happens to cardiac T-tubules in atrial muscle compared with ventricular muscle?,They are replaced by motor end plates,They are always larger,They are much smaller or may be absent,They become skeletal triads,3,,"Ventricular T-tubules are well developed, whereas atrial T-tubules are smaller or can be absent."
Where are atrial natriuretic factor granules most abundant?,Right atrial muscle cells,Left ventricular skeletal fibers,Smooth muscle of the bladder,Extraocular skeletal muscle,1,,The chapter figure notes that atrial granules are most abundant in right atrial muscle cells.
What does atrial natriuretic factor oppose in its renal effects according to the chapter figure?,The action of acetylcholine at motor end plates,Troponin binding to calcium,Dystrophin linkage to ECM,The sodium- and water-conserving actions of aldosterone and antidiuretic hormone,4,,"ANF promotes sodium and water loss, opposing hormones whose renal effects conserve sodium and water."
Which cardiac junctional component anchors actin filaments at the intercalated disc?,Tendon organ,Gap junction,Fascia adherens,Caveola,3,,Fascia adherens junctions in transverse intercalated-disc regions provide anchoring sites for actin filaments.
Which intercalated-disc component mainly resists mechanical separation during repeated contraction?,Desmosomes,Caveolae,ACh receptors,Gap junctions,1,,Desmosomes provide strong adhesion between cardiac cells during constant mechanical stress.
What are gap junctions in intercalated discs sometimes called functionally?,Motor end plates,Electrical synapses,Dense bodies,Triads,2,,"Because gap junctions allow rapid ionic conduction from cell to cell, the chapter describes them as electrical synapses."
What is the main reason the heart's cells contain so many mitochondria?,They support the continuous high energy demand of contraction,They make cells multinucleated,They create intercalated discs,They replace T-tubules,1,,The chapter emphasizes abundant cardiac mitochondria in keeping with sustained contractile activity.
A biopsy shows long cylindrical fibers with peripheral nuclei and prominent striations. Which muscle type is this?,Smooth muscle,Fibrous connective tissue,Skeletal muscle,Cardiac muscle,3,,Long multinucleated striated fibers with peripheral nuclei are characteristic of skeletal muscle.
A biopsy shows branched striated cells with one central nucleus and dark transverse junctions. Which tissue is most likely?,Smooth muscle,Skeletal muscle,Cardiac muscle,Tendon,3,,Cardiac muscle is branched and striated with central nuclei and visible intercalated discs.
"A biopsy shows spindle-shaped cells without striations, and their nuclei become corkscrew-shaped when contracted. Which tissue is this?",Skeletal muscle,Hyaline cartilage,Smooth muscle,Cardiac muscle,3,,"Smooth muscle cells are fusiform and nonstriated, and contraction can twist their elongated nuclei into a corkscrew shape."
A muscle cell receives a depolarization that travels deep into the fiber through sarcolemmal invaginations. Which structure carries the signal?,Endomysium,T-tubules,Satellite cells,Myomesin,2,,T-tubules conduct sarcolemmal depolarization deep into skeletal muscle fibers.
A skeletal muscle fiber releases calcium into the sarcoplasm. Which structure is the immediate storage source?,Z discs,Synaptic vesicles during ordinary muscle function,Terminal cisternae of the sarcoplasmic reticulum,Perimysium,3,,The terminal cisternae of the SR store and release calcium during excitation-contraction coupling.
A mutation eliminates the calcium-binding function of troponin C. Which immediate step would be impaired?,Movement of tropomyosin away from actin's myosin-binding sites,Satellite cell localization,Formation of epimysium,Release of acetylcholine from the motor neuron during ordinary muscle function,1,,Calcium binding to troponin C is what shifts the troponin-tropomyosin complex and exposes actin sites.
A drug prevents ATP from binding myosin after the power stroke. Which event is directly blocked?,Detachment of myosin from actin,Calcium binding to troponin,Formation of the Z disc,ACh release from synaptic vesicles,1,,ATP binding to myosin is required for myosin to detach from actin after the power stroke.
A patient has impaired acetylcholinesterase activity at the NMJ. Which normal event would be slowed?,Removal of acetylcholine from the synaptic cleft,Binding of actin to alpha-actinin during ordinary muscle function,Release of calcium from the SR,Formation of tendon collagen,1,,Acetylcholinesterase normally clears acetylcholine from the synaptic cleft after receptor activation.
Damage selectively destroys perimysium. Which level of skeletal muscle organization loses its immediate connective tissue sheath?,Single myofibril,Fascicle,Entire muscle,Sarcomere,2,,Perimysium directly surrounds each fascicle.
Damage selectively destroys endomysium. Which structure is directly affected?,Individual muscle fibers,Only tendon,The entire muscle as one unit,Only the A band,1,,Endomysium is the delicate connective tissue around each individual muscle fiber.
A sensory receptor in muscle responds to stretch of surrounding extrafusal fibers. Which receptor is involved?,Golgi tendon organ,Muscle spindle,Intercalated disc,Motor end plate,2,,Muscle spindles detect changes in muscle length and relay stretch information to the CNS.
A sensory receptor embedded among tendon collagen detects excessive tension. Which receptor is involved?,Motor end plate in the adult tissue described,Pacemaker node,Muscle spindle,Golgi tendon organ,4,,Golgi tendon organs are located at myotendinous regions and monitor tendon tension.
A muscle used for posture must contract for long periods with minimal fatigue. Which fiber type is best suited?,Type I slow oxidative,Smooth muscle fiber type,Type IIa exclusively because it has no mitochondria,Type IIb fast glycolytic,1,,"Type I fibers are specialized for prolonged, fatigue-resistant activity and are common in postural muscles."
A muscle must generate very rapid short-term contractions and can fatigue quickly. Which fiber type best matches?,Type IIb fast glycolytic,Smooth muscle cell,Cardiac muscle cell,Type I slow oxidative in the normal histologic arrangement,1,,"Type IIb fibers are specialized for rapid contraction, rely heavily on glycolysis, and fatigue relatively quickly."
A cardiac myocyte requires direct electrical coupling to its neighbor. Which junction is most important?,Fascia adherens,Desmosome,Hemidesmosome,Gap junction,4,,Gap junctions provide ionic continuity for electrical coupling between cardiac muscle cells.
A cardiac myocyte requires strong mechanical adhesion to prevent cells from pulling apart. Which junction is especially important?,Motor end plate,Desmosome,Gap junction,Caveola,2,,Desmosomes provide robust mechanical attachment between cardiac cells under repetitive contractile stress.
A smooth muscle cell is stimulated by calcium. Which sequence is correct?,"Calcium binds dystrophin, forming Z discs","Calcium binds calmodulin, activating MLCK, which phosphorylates myosin","Calcium activates acetylcholinesterase, exposing actin","Calcium binds troponin C, activating myomesin",2,,"Smooth muscle uses calcium-calmodulin to activate MLCK, leading to phosphorylation of myosin light chains."
A smooth muscle cell contains many dense bodies. Which filament is directly anchored there?,Thick myosin filament only,T-tubule,Collagen fiber,Thin actin filament,4,,Dense bodies contain alpha-actinin and serve as attachment sites for thin actin filaments.
A patient dies after a myocardial infarction and later develops rigor mortis. What molecular failure causes the rigidity?,ATP depletion prevents myosin heads from detaching from actin,ANF causes sodium loss,Dystrophin becomes overexpressed,ACh receptors become autoimmune targets as the primary mechanism in this tissue,1,,Rigor mortis reflects stable actin-myosin crossbridges when ATP is unavailable for detachment.
