Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct,Image,Explanation
What is ER-associated degradation (ERAD) linked to in the slide discussion of osteogenesis imperfecta?,Recycling of LDL receptors,Polymerization of tubulin,Breakdown of glycogen in the cytosol,Quality control and handling of defective procollagen,4,,The slide associates osteogenesis imperfecta with defective procollagen synthesis/secretion and defects involving RER and ERAD.
Smooth ER differs from rough ER primarily because smooth ER does what?,Lacks attached ribosomes,Contains nuclear pores,Contains 13 protofilaments,Contains a double membrane,1,,The smooth ER slide explicitly states that SER lacks ribosomes.
Which structural description best fits smooth ER?,A stack of 9 microtubule triplets,A spherical vesicle filled with acid hydrolases only,"A network of membranous sacs, vesicles, and tubules continuous with RER",A non-membranous barrel of proteases,3,,The slides describe SER as a membranous network continuous with rough ER.
Which molecules are synthesized by enzymes in smooth ER according to the slides? Select all that apply.,Sterols,Triglycerides,rRNA,Phospholipids,"1,2,4",,"The SER slide lists phospholipids, triglycerides, and sterols as products of SER-associated enzymes."
Which functions are assigned to smooth ER in the slides? Select all that apply.,Detoxification reactions,Sequestration and release of Ca2+,Glycogen degradation and gluconeogenesis,Assembly of ribosomal subunits,"1,2,3",,"The slides list detoxification, carbohydrate metabolism, lipid metabolism, and calcium sequestration/release among SER functions."
Which detoxification reactions are specifically named for smooth ER?,Phagocytosis and pinocytosis,Hydroxylation and conjugation,Replication and transcription,Polymerization and depolymerization of tubulin,2,,The SER function slide explicitly names hydroxylation and conjugation.
What medical application is used in the slides to connect smooth ER with bilirubin metabolism?,MERRF,Tay-Sachs disease,Chediak-Higashi syndrome,Jaundice,4,,The slides link jaundice to bilirubin accumulation and note that bilirubin is normally metabolized by SER enzymes in liver cells and excreted in bile.
What protein is defective in the slide discussion of osteogenesis imperfecta?,Procollagen,Clathrin,Tubulin,Caveolin,1,,"The slide states that bone cells synthesize and secrete defective procollagen, producing very weak bone tissue."
Which cytoplasmic region would be most likely to lose lipid content during routine histologic processing with organic solvents?,A region rich in free polysomes,A region rich in lysosomal hydrolases,A region rich in smooth ER,A region rich in chromatin,3,,The textbook assessment links poorly preserved lipid-rich cytoplasm with abundant smooth ER because SER is strongly associated with lipid metabolism.
What is the basic structural organization of the Golgi apparatus?,A lattice of intermediate filaments,"Stacks of smooth, disc-shaped membrane cisternae with associated vesicles",A hollow tubule of 13 protofilaments,A double membrane with cristae,2,,The slides describe the Golgi as disc-shaped smooth cisternae (dictyosomes) plus membrane-bound vesicles.
Which Golgi face is associated with the rough ER?,Lateral face only,Nuclear face,Trans or maturing face,Cis or forming face,4,,The slides identify the cis Golgi face as the receiving/forming side associated with RER.
Which Golgi face is commonly oriented toward the plasma membrane?,Trans or maturing face,Cis face,Basal lamina,Mitochondrial face,1,,The slides state that the trans face is often oriented toward the plasma membrane.
Which modifications are emphasized for the Golgi apparatus? Select all that apply.,DNA replication,Phosphorylation,Sulfation,Glycosylation,"2,3,4",,"The slides list glycosylation, phosphorylation, and sulfation as important Golgi functions."
Which coat protein is associated with forward movement from the ER toward the Golgi in the slides?,COPI,Clathrin only,COPII,Kinesin,3,,The slide explicitly states 'Forward movement COP-II.'
Which coat protein is associated with retrograde movement in the slides?,Keratin,COPI,Actin,COPII,2,,The slide explicitly states 'retrograde movements COP-I.'
What is the general flow of secretory cargo through the Golgi?,Entry at microvilli and exit through centrioles,Entry at the trans face and exit through the nuclear envelope,Entry through lysosomes and exit through mitochondria,"Entry at the cis face, modification through the stack, and exit from the trans face",4,,The textbook describes transport vesicles entering the cis receiving face and modified cargo leaving from the trans side.
What is a major function of the trans Golgi network?,"Sorting and packaging modified proteins for destinations such as lysosomes, plasma membrane, or secretion",Generating ATP,Polymerizing actin exclusively,Replicating DNA,1,,The textbook summary describes packaging of Golgi-modified proteins into vesicles directed to different destinations.
What enzyme deficiency causes I-cell disease in the slide material?,Adenylyl cyclase deficiency,Dynein deficiency,N-acetylglucosamine-phosphotransferase deficiency,Catalase deficiency,3,,The I-cell disease slide identifies deficiency of N-acetylglucosamine-phosphotransferase.
What targeting marker is formed by the Golgi reaction that is defective in I-cell disease?,Cardiolipin,Mannose-6-phosphate,Bilirubin,cAMP,2,,The deficient Golgi enzyme normally phosphorylates mannose residues to generate mannose-6-phosphate on N-linked glycoproteins.
How is I-cell disease inherited according to the slide?,Y-linked,X-linked dominant,Mitochondrial inheritance,Autosomal recessive,4,,"The slide labels I-cell disease as AR, meaning autosomal recessive."
What are secretory granules?,Membrane-bound vesicles that store concentrated secretory products until release,Non-membranous DNA aggregates,Microtubule-organizing centers,Lipid rafts in the plasma membrane,1,,The textbook describes secretory granules as storage vesicles for products released by regulated secretion.
Which type of secretion is most closely associated with secretory granules?,Osmosis,Primary active transport,Regulated secretion,Simple diffusion,3,,Regulated secretion stores products in granules until a signal triggers exocytosis.
Which destinations can Golgi-derived transport vesicles target according to the textbook summary? Select all that apply.,Lysosomes,Extracellular secretion,Chromosomal centromeres,Plasma membrane,"1,2,4",,"Modified proteins leave the Golgi in coated vesicles directed to lysosomes, the plasma membrane, or secretion."
What is the principal function of lysosomes?,Steroid hormone binding in plasma,Intracellular digestion and turnover of cellular components,Formation of the mitotic spindle,DNA replication,2,,The slides and textbook identify lysosomes as intracellular digestive organelles.
What type of enzymes do lysosomes contain?,DNA polymerases only,Histones,Tubulin GTPases only,Acid hydrolases,4,,The slides state that lysosomal enzymes are acid hydrolases.
At approximately what pH do lysosomal acid hydrolases have optimal activity?,About pH 5,About pH 1,About pH 7.35,About pH 10,1,,The slide gives an optimal lysosomal enzyme activity at approximately pH 5.
What is a primary lysosome according to the textbook summary?,A vesicle carrying cholesterol from the cell surface,A mitochondrion undergoing fission,A Golgi-derived lysosome containing acid hydrolases before fusion with material to be digested,A newly assembled ribosome,3,,The textbook summary states that primary lysosomes emerge from the Golgi containing acid hydrolases.
What characterizes a secondary lysosome?,It is an intermediate filament,It has fused with a vesicle containing material to be digested,It contains no hydrolytic enzymes,It is a type of nuclear pore,2,,Secondary lysosomes are more heterogeneous because they form after lysosomal fusion with endocytic or other cargo-containing vesicles.
Why are leaked lysosomal enzymes relatively less damaging in the cytosol?,They require cholesterol to function,They immediately become DNA,They are only active in the nucleus,Their activity is optimized for the acidic lysosomal environment rather than the near-neutral cytosol,4,,The textbook notes that lysosomal hydrolases work best at acidic pH and are much less active at cytosolic pH.
What is autophagy?,Lysosomal digestion of unneeded or nonfunctional organelles after they are enclosed by membrane,Assembly of ribosomes in the nucleolus,Direct diffusion of proteins through the bilayer,Replication of mitochondrial DNA,1,,The textbook summary describes autophagy as delivery of unneeded organelles to lysosomes for degradation.
What happens to useful products generated by digestion in secondary lysosomes?,They are converted into chromatin,They are all secreted immediately,They can be released to the cytoplasm for reuse,They remain permanently trapped in residual bodies,3,,The textbook summary states that digestion products can be returned to the cytoplasm for reuse.
What is a residual body?,A ribosomal precursor particle,A condensed vesicle containing indigestible material left after lysosomal digestion,A newly synthesized secretory granule,A Golgi cisterna,2,,The textbook describes residual bodies as final vesicles containing indigestible molecules.
Which disease in the slide lysosomal-storage table is associated with hexosaminidase deficiency?,McArdle syndrome,MERRF,Zellweger syndrome,Tay-Sachs disease,4,,The lysosomal storage disease table on the slide associates Tay-Sachs disease with defective GM2 gangliosidase/hexosaminidase-related degradation.
Which lysosomal storage disease in the slide table is associated with glucocerebrosidase deficiency?,Gaucher disease,Hurler syndrome,Osteogenesis imperfecta,Chediak-Higashi syndrome,1,,The slide table lists glucocerebrosidase deficiency for Gaucher disease.
What are proteasomes?,Golgi transport vesicles,Acidic membrane-bound organelles for bulk digestion,Non-membranous protein complexes that degrade selected proteins,Mitochondrial inner-membrane folds,3,,The slides describe proteasomes as non-membranous protein complexes that degrade denatured or nonfunctional polypeptides.
Which small polypeptide tag marks many proteins for proteasomal degradation in the textbook?,Cardiolipin,Ubiquitin,Clathrin,Glycogen,2,,"The textbook states that proteins destined for proteasomal degradation are tagged with ubiquitin, often as a polyubiquitin chain."
Which disorders are linked in the slide material to protein aggregates and proteasome failure?,Zellweger syndrome and MERRF,I-cell disease and jaundice,Osteogenesis imperfecta and Tay-Sachs disease,Alzheimer disease and Huntington disease,4,,The proteasome slide associates Alzheimer and Huntington diseases with protein aggregates due to failure of protein degradation.
Which statements correctly distinguish lysosomes from proteasomes? Select all that apply.,Proteasomes require a pH of about 5 inside a membrane-enclosed lumen,Both are defined as mitochondrial inner-membrane folds,Proteasomes are non-membranous protein-degradation complexes,Lysosomes are membrane-enclosed acidic digestive organelles,"3,4",,"Lysosomes perform membrane-enclosed acidic digestion, whereas proteasomes are non-membranous complexes for targeted protein degradation."
How are peroxisomes structurally described in the slides?,Small spherical organelles enclosed by a single membrane,Double-membrane organelles with cristae,Non-membranous ribonucleoprotein particles,Stacks of flattened Golgi cisternae,1,,The slides describe peroxisomes as small spherical single-membrane organelles.
Which reactive molecule is both generated and degraded in peroxisomal metabolism?,cAMP,Carbon monoxide only,Hydrogen peroxide,Bilirubin,3,,The peroxisome slide includes synthesis and degradation of hydrogen peroxide among peroxisomal functions.
Which enzyme highlighted in the textbook breaks down H2O2 in peroxisomes?,Adenylyl cyclase,Catalase,Clathrin,Dynein,2,,The textbook summary identifies catalase as a key peroxisomal enzyme that breaks down hydrogen peroxide.
Peroxisomes are important for oxidation of which fatty acids in the slide material?,Only amino acids,Only cholesterol esters,Only two-carbon fatty acids,Very-long-chain fatty acids longer than about C24,4,,The slide specifically lists oxidation of very-long-chain fatty acids greater than C24.
Which functions are listed for peroxisomes in the slides? Select all that apply.,Bile acid synthesis,Phospholipid exchange,Very-long-chain fatty acid oxidation,rRNA synthesis,"1,2,3",,"The slides list VLCFA oxidation, phospholipid exchange, bile-acid synthesis, and hydrogen-peroxide metabolism."
What accumulates when peroxisome function is deficient according to the slides?,Very-long-chain fatty acids and bile acid precursors,Only ribosomal subunits,Histones,Clathrin-coated vesicles,1,,The slide states that patients fail to oxidize VLCFAs and accumulate bile-acid precursors.
Which disorders are named as common peroxisomal deficiency disorders in the slides? Select all that apply.,McArdle syndrome,I-cell disease,Neonatal adrenoleukodystrophy,Zellweger syndrome,"3,4",,The peroxisome slide names Zellweger syndrome and neonatal adrenoleukodystrophy.
What is the major cellular function of mitochondria emphasized in both slides and textbook?,rRNA synthesis,Phagosome formation,ATP synthesis,Extracellular matrix secretion,3,,Mitochondria are described as the major sites of ATP production.
What type of DNA do mitochondria contain according to the slides?,Only RNA,Double-stranded circular DNA,Single-stranded linear DNA only,No DNA,2,,The slides state that mitochondria contain double-stranded circular DNA.
How many membranes surround a mitochondrion?,None,Three,One,Two,4,,The slides explicitly state that mitochondria have two membranes.
How is the outer mitochondrial membrane described?,"Smooth, continuous, and highly permeable",Highly folded and impermeable to most small ions,Composed of chromatin,Non-membranous,1,,"The slides describe the outer membrane as smooth, continuous, and highly permeable."
What integral membrane proteins contribute to the high permeability of the outer mitochondrial membrane?,Lamins,Histones,Porins,Keratins,3,,The slides attribute outer-membrane permeability to abundant porins.
What does the mitochondrial intermembrane space contain according to the slides?,Ribosomal precursor particles,Enzymes such as creatine phosphokinase and adenylate kinase,Acid hydrolases only,Histones and chromatin,2,,The slides list creatine phosphokinase and adenylate kinase in the intermembrane compartment.
How is the inner mitochondrial membrane described with respect to small ions and molecules?,Identical to the outer membrane in permeability,Completely absent,Freely permeable to all ions,Relatively impermeable to many small ions and molecules,4,,The slide contrasts the selective inner membrane with the highly permeable outer membrane.
Which lipid is especially abundant in the inner mitochondrial membrane?,Cardiolipin,Melanin,Glycogen,Clathrin,1,,The slides identify a high content of cardiolipin in the inner mitochondrial membrane.
What are mitochondrial cristae?,Bundles of keratin,Infoldings of the plasma membrane used in endocytosis,Infoldings of the inner mitochondrial membrane,Stacks of Golgi cisternae,3,,The slides define cristae as numerous infoldings of the inner mitochondrial membrane.
Where are the electron-transport and oxidative-phosphorylation enzymes located?,Outer nuclear membrane,Inner mitochondrial membrane,Lysosomal lumen,Golgi cis face,2,,The slides place electron transport and oxidative phosphorylation on the inner mitochondrial membrane.
"Which mitochondrial compartment contains enzymes that oxidize pyruvate, amino acids, and fatty acids?",Outer membrane,Intermembrane space only,Golgi lumen,Matrix,4,,The slides describe the matrix as containing enzymes that oxidize these fuels and generate reduced cofactors.
Which reduced cofactors generated in the mitochondrial matrix are used by the electron transport chain?,NADH and FADH,ATP and DNA only,Clathrin and caveolin,cAMP and IP3,1,,The slides list reduced NADH and FADH as electron carriers generated for the electron transport chain.
What are the two cristae forms identified in the slides?,Granular and fibrillar,Cis and trans,Plate-like and tubular,A and Z only,3,,The mitochondria slide describes plate-like and tubular-like cristae.
Which cells are highlighted as having tubular mitochondrial cristae?,Neutrophils only,Steroid-secreting adrenal and gonadal cells,Mature erythrocytes,Intestinal absorptive cells only,2,,The slide states that steroid-secreting adrenal and gonadal cells have tubular cristae.
How is mitochondrial DNA inherited according to the slides?,Paternally only,Only through the Y chromosome,Equally from both parents in every mitochondrion,Maternally,4,,The slides state that mitochondrial DNA is inherited from the mother.
What do intramitochondrial granules contain according to the slides?,Calcium and magnesium,Clathrin and caveolin,Histones and DNA polymerase,Bilirubin and glycogen,1,,The slides describe intramitochondrial granules as containing calcium and magnesium.
MERRF is associated in the slides with a mutation affecting which molecule?,Clathrin heavy chain,Nuclear lamin B receptor,Mitochondrial lysine tRNA,Peroxisomal catalase only,3,,The slides link MERRF to mitochondrial DNA carrying a mutated gene for lysine tRNA.
What is a consequence of the MERRF mutation described in the slides?,Excess synthesis of glycocalyx,Defective synthesis of respiratory-chain proteins,Failure of chromatin condensation only,Loss of all lysosomal acidification,2,,The slide states that the mitochondrial tRNA mutation leads to defective synthesis of respiratory-chain protein.
Which cell type would be expected to have the greatest mitochondrial content based on the slide question?,Osteocytes,Chondrocytes,White adipocytes,Cardiac muscle cells,4,,The slide question links mitochondrial abundance to energy demand and identifies cardiac muscle cells as the highest-energy option.
What does the textbook identify as the source of new mitochondria?,Fission of preexisting mitochondria,Polymerization of actin,Fusion of lysosomes,De novo assembly from Golgi cisternae,1,,The textbook summary states that mitochondria form by fission of preexisting mitochondria.
Which pathways are located in the mitochondrial matrix according to the textbook summary?,rRNA transcription and ribosome assembly,Clathrin coating and caveola formation,Beta-oxidation of fatty acids and the citric acid cycle,Glycolysis and receptor-mediated endocytosis,3,,The textbook summary places beta-oxidation and the citric acid (Krebs) cycle in the mitochondrial matrix.
What enzyme complex in the inner mitochondrial membrane directly produces ATP using the proton gradient?,Clathrin,ATP synthase,DNA polymerase,Catalase,2,,The textbook summary states that the inner membrane includes the electron-transport system and ATP synthase.
"In stressed cells, mitochondrial release of which molecule can trigger apoptosis?",Clathrin,Glycogen,Bilirubin,Cytochrome c,4,,The textbook summary and apoptosis slide link mitochondrial cytochrome c release with activation of cell-death pathways.
Which features belong to the inner mitochondrial membrane? Select all that apply.,Abundant porins causing high permeability,ATP synthase,Electron-transport system,Cristae,"2,3,4",,The inner membrane forms cristae and houses electron-transport and ATP-generating machinery; porins characterize the outer membrane.
What are the three major cytoskeletal polymer systems in the textbook?,"Microtubules, actin microfilaments, and intermediate filaments","Golgi, ER, and mitochondria","DNA, RNA, and glycogen","Ribosomes, lysosomes, and peroxisomes",1,,"The textbook summary identifies microtubules, actin filaments, and intermediate filaments as the three major cytoskeletal systems."
Approximately what diameter do microtubules have?,8-10 nm,5-7 nm,25 nm,80 nm,3,,The slides and textbook describe microtubules as about 25 nm in diameter.
Microtubules are polymers of what?,Keratin and vimentin,Alpha- and beta-tubulin heterodimers,Actin and myosin,Collagen and elastin,2,,The slides state that microtubules are built from alpha/beta tubulin heterodimers.
How many protofilaments form the wall of a typical microtubule?,9,7,3,13,4,,The slides specify 13 protofilaments in a complete microtubule.
Which functions are assigned to microtubules in the slides? Select all that apply.,Intracellular vesicle and organelle transport,Chromosome movement during meiosis and mitosis,rRNA synthesis,Ciliary and flagellar movement,"1,2,4",,"The slides list chromosome movement, spindle formation, intracellular transport, and ciliary/flagellar movement as microtubule functions."
What does microtubule polarity help determine?,The direction of vesicular transport along microtubules,The charge of histones,The percentage of cytoplasmic water,The pH optimum of lysosomal enzymes,1,,The textbook assessment emphasizes that microtubule polarity establishes direction for motor-driven transport.
Which motor protein generally moves vesicles and organelles away from the cell center?,Clathrin,Myosin II,Kinesin,Dynein,3,,The slide states that kinesin moves vesicles and organelles away from the cell center.
Which motor protein generally moves cargo along microtubules toward the cell center?,Keratin,Dynein,Vimentin,Kinesin,2,,The slide identifies dynein as responsible for movement toward the cell center.
What does MTOC stand for in the context of microtubules?,Membrane trafficking output channel,Microfilament tension organizing complex,Mitochondrial transport oxidation complex,Microtubule-organizing center,4,,The slides state that microtubule formation is directed by a microtubule-organizing center.
Which factors are stated to influence microtubule formation in the slides?,Ca2+ concentration and microtubule-associated proteins,Bilirubin and glycogen,Histones and DNA,Clathrin and caveolin only,1,,The microtubule-organizing-center slide names calcium concentration and MAPs as factors controlling microtubule formation.
What is dynamic instability of microtubules?,Conversion of microtubules into DNA,Fusion of microtubules with lysosomes,Rapid switching between phases of tubulin addition and loss,Permanent fixation of microtubule length,3,,The textbook describes microtubules as highly dynamic polymers with steady addition and dissociation of tubulin.
Chediak-Higashi syndrome is linked in the slides to what cellular defect?,Defective histone synthesis,Defective microtubule polymerization and abnormal intracellular transport,Excess ATP synthase activity,Loss of all membrane cholesterol,2,,The slides describe Chediak-Higashi syndrome as an autosomal recessive immunodeficiency with defective microtubule polymerization and transport.
What phagocytic-cell consequence is described for Chediak-Higashi syndrome?,Loss of mitochondrial DNA,Failure to form nuclear pores,Excess receptor recycling,Delayed fusion of phagosomes with lysosomes in leukocytes,4,,The slide states that phagosome-lysosome fusion is delayed in leukocytes.
How are the two centrioles typically oriented relative to one another?,Their long axes are perpendicular,They are arranged inside the nucleolus,They form a single flat sheet,They are parallel and fused,1,,The centriole slide describes a pair of cylindrical structures oriented at right angles.
What is the microtubule arrangement in a centriole?,Seven actin bundles,Nine doublets plus a central pair,Nine sets of microtubule triplets,Thirteen single protofilaments only,3,,The slides describe centrioles as having nine triplets arranged in a pinwheel pattern.
Approximately what diameter are actin microfilaments according to the textbook summary?,25 nm,5-7 nm,80 nm,8-10 nm,2,,The textbook summary gives actin filaments a diameter of about 5-7 nm.
What are microfilaments made of?,Histone,Collagen,Tubulin,Actin,4,,The slides identify microfilaments as polymers of actin.
What are the two forms of actin named in the slides?,G-actin and F-actin,A-actin and Z-actin,Cis-actin and trans-actin,Alpha-actin and beta-actin only,1,,The slides distinguish globular G-actin from filamentous F-actin.
How is F-actin described structurally?,A hollow cylinder of 13 protofilaments,A nine-triplet cylinder,Helically entwined actin chains,A double membrane with cristae,3,,The slides state that F-actin polymerizes into helically entwined actin chains.
What does the slide state can influence actin filament disassembly and reassembly?,Changes only in nuclear DNA sequence,Changes in Ca2+ and cAMP,Changes in bilirubin,Changes in lysosomal pH only,2,,The microfilament slide says actin chains readily dissociate and reassemble with changes in Ca2+ and cAMP.
What motor proteins move along actin filaments according to the textbook?,Lamins,Kinesins,Dyneins,Myosins,4,,The textbook summary identifies myosins as motor proteins that bind and move along actin filaments.
Which cellular processes depend on actin and myosin according to the textbook summary? Select all that apply.,rRNA transcription in the nucleolus,Endocytosis,Cell cleavage after mitosis,Cell locomotion,"2,3,4",,"The textbook summary links actin-myosin cytoplasmic movements with endocytosis, cytokinetic cleavage, and cell locomotion."
Which cytoskeletal element is described as the most stable and as conferring strong mechanical stability?,Intermediate filaments,Actin filaments,Microtubules,Clathrin coats,1,,Both slides and textbook emphasize the mechanical stability provided by intermediate filaments.
Approximately what diameter are intermediate filaments according to the textbook summary?,25 nm,5-7 nm,8-10 nm,80 nm,3,,The textbook summary gives intermediate filaments a diameter of about 8-10 nm.
Which intermediate filament is characteristic of cells of mesenchymal origin?,Desmin,Vimentin,GFAP,Keratin,2,,The slide identifies vimentin as characteristic of cells of mesenchymal origin.
Which intermediate filament is associated with muscle Z-disks and uniform tension distribution?,GFAP,Vimentin,Neurofilament,Desmin,4,,The slide associates desmin with skeletal-muscle Z-disks and tension distribution.
Which intermediate filament protein is characteristic of astrocytes and other glial cells?,Glial fibrillary acidic protein (GFAP),Desmin,Keratin,Vimentin only,1,,"The slide lists GFAP as characteristic of the cytoplasm of glial cells, especially astrocytes."
Which intermediate filaments are present in neurons?,Keratins,Lamins only,Neurofilaments,Desmin only,3,,The slide lists neurofilaments as intermediate filaments present in neurons.
Which intermediate filaments are prominent in skin epithelial cells for resistance to friction and cell-cell adhesion?,Vimentin,Keratins,Neurofilaments,Desmin,2,,"The slide associates keratins with skin cells, friction resistance, and cell-cell adhesion."
A patient with epidermolysis bullosa simplex has mutations in keratin genes. Which normal function of keratins is most directly affected?,Vesicular acidification,rRNA synthesis,ATP synthesis,Mechanical stability,4,,The textbook assessment uses keratin mutations to illustrate the mechanical-strength function of intermediate filaments.
Which pairings between intermediate filament and cell type are correct? Select all that apply.,Desmin — hepatocyte glycocalyx,GFAP — astrocytes,Neurofilaments — neurons,Vimentin — mesenchymal cells,"2,3,4",,"The slide maps vimentin to mesenchymal cells, GFAP to glial cells, neurofilaments to neurons, desmin to muscle, and keratins to epithelial/skin cells."
Which events are listed as possible triggers leading toward apoptosis in the slides?,"Cellular injury, DNA damage, or decreased hormonal stimulation",Only increased extracellular cholesterol,Only phagocytosis of bacteria,Only increased glycogen storage,1,,"The apoptosis slide lists cellular injury, DNA damage, and decreased hormonal stimulation."
What anti-apoptotic protein is described as becoming inactive in the slide pathway?,Vimentin,Catalase,Bcl-2,Clathrin,3,,The slide pathway describes loss or inactivation of Bcl-2 as permitting cytochrome c release.
Which mitochondrial molecule activates the downstream apoptotic cascade after release into the cytoplasm?,Glycogen,Cytochrome c,Bilirubin,Cardiolipin,2,,The apoptosis slide and textbook summary link cytochrome c release to activation of apoptosis.
Which protease family is activated in apoptosis according to the slides?,Collagenases only,Tubulins,Histones,Caspases,4,,The slides state that cytochrome c leads to caspase activation.
What do caspases activate in the slide description?,Proteases and endonucleases,Only clathrin,Only ribosomes,Only cholesterol,1,,The slide states that caspases activate proteases and endonucleases that dismantle cellular components.
Which morphologic changes are described in apoptosis? Select all that apply.,Cell shrinkage,Nuclear condensation and organized fragmentation,Formation of apoptotic bodies,Diffuse cell swelling followed by inflammatory rupture as the defining pattern,"1,2,3",,"The slides describe shrinkage, increased eosinophilia, nuclear condensation/fragmentation, and apoptotic-body formation."
How are apoptotic bodies removed according to the slides?,By Golgi cisternae,By nuclear pores,By macrophages,By mitochondrial fission only,3,,The slides state that apoptotic bodies are removed by macrophages.
What inflammatory response follows apoptosis according to the slides?,Only granulomatous inflammation occurs,Apoptosis is not followed by inflammation,Inflammation occurs only because of clathrin,Severe inflammation is obligatory,2,,The slide explicitly states that apoptosis is not followed by inflammation.
"In the slide clinical question, high-risk HPV E6 promotes cervical cancer primarily by doing what?",Arresting the cell cycle permanently,Inhibiting telomerase expression,Directly increasing glycogen breakdown,Promoting p53 degradation and thereby preventing apoptosis,4,,The slide question states that E6 causes p53 degradation; the keyed mechanism is prevention of apoptosis.
Which events belong to the apoptotic pathway presented in the uploaded sources? Select all that apply.,Loss of Bcl-2 protection,Cytochrome c release,Caspase activation,COPII-mediated transport from ER to Golgi as the execution step,"1,2,3",,The slide pathway connects reduced Bcl-2 activity with mitochondrial cytochrome c release and caspase activation.
A newly synthesized protein will be secreted from the cell. Which sequence best matches its route?,RER -> Golgi apparatus -> secretory vesicle -> plasma membrane,Mitochondrial matrix -> nuclear lamina -> glycocalyx,SER -> centriole -> microtubule -> chromatin,Nucleolus -> peroxisome -> lysosome -> nucleus,1,,"Secretory proteins enter the RER, move through the Golgi for processing and sorting, and are released by vesicle fusion with the plasma membrane."
A lysosomal enzyme is synthesized normally but fails to receive the Golgi targeting modification highlighted in I-cell disease. Which destination is most directly disrupted?,Nucleolus,Microtubule-organizing center,Lysosome,Mitochondrial matrix,3,,Mannose-6-phosphate formation in the Golgi is a key targeting step for lysosomal enzymes.
A membrane receptor binds LDL and enters a clathrin-coated pit. What is most likely to happen to the receptor after ligand-receptor separation in an endosome?,It is always converted into ATP,It may be recycled to the plasma membrane,It must become a histone,It forms a centriole,2,,The textbook uses LDL receptors as an example of receptors sorted into recycling endosomes and returned to the surface.
A cell specialized for rapid steroid synthesis would be expected to have especially abundant which organelle?,Rough endoplasmic reticulum only,Nucleolus only,Lysosome only,Smooth endoplasmic reticulum,4,,SER contains enzymes involved in synthesis of sterols and is prominent in steroid-producing cells.
A cell producing large amounts of secreted digestive enzymes would be expected to have abundant which organelle?,Rough endoplasmic reticulum,Residual bodies only,Peroxisomes only,Centrioles only,1,,Protein-secreting cells such as pancreatic acinar cells have well-developed RER.
A defect that prevents acidification of late endosomes would most directly interfere with which process described in the textbook?,Tubulin synthesis,Formation of histones,Ligand-receptor separation and activation of some hydrolytic processes,Mitochondrial fission,3,,"Late-endosomal H+ pumps acidify the lumen, supporting ligand-receptor uncoupling and lysosomal enzyme function."
A drug blocks kinesin. Which process would be most directly impaired based on the slides?,rRNA synthesis in the nucleolus,Movement of vesicles and organelles away from the cell center,Catalase breakdown of H2O2,Movement of cargo toward the cell center by dynein,2,,Kinesin is identified as a microtubule motor that moves cargo away from the cell center.
A mutation destabilizes keratin in epidermal cells. Which property would be most directly reduced?,ATP generation,Endosomal acidification,Steroid hormone transport in plasma,Resistance to mechanical stress and friction,4,,Keratins are stable intermediate filaments that strengthen epithelial cells and help them resist friction.
A cell has abundant tubular mitochondrial cristae. Which functional specialization is most consistent with the slides?,Steroid secretion,Formation of tight junctions only,rRNA synthesis,Phagocytosis of bacteria,1,,The slides associate tubular mitochondrial cristae with steroid-secreting adrenal and gonadal cells.
A cellular compartment has a pH near 5 and contains acid hydrolases. Which organelle is it?,Nucleolus,Centriole,Lysosome,Mitochondrion,3,,Lysosomal acid hydrolases function optimally at approximately pH 5.
Which pathway most directly explains why Chediak-Higashi syndrome can impair microbial killing?,Failure of steroid hormones to bind carriers,Delayed phagosome-lysosome fusion,Increased ATP synthase activity,Excessive Golgi sulfation,2,,The slide connects defective microtubule-dependent intracellular transport with delayed fusion of phagosomes and lysosomes in leukocytes.
Which organelle pair is most directly linked by COPII-mediated anterograde transport?,Mitochondrion and centriole,Lysosome and nucleolus,Peroxisome and chromatin,Rough ER and Golgi apparatus,4,,COPII is the forward coat used for transport from the ER toward the Golgi.
Which organelle pair is functionally linked during autophagy?,Autophagic membrane compartment and lysosome,Nucleolus and centriole,Golgi and chromosome,Mitochondrial crista and glycocalyx,1,,"During autophagy, membrane encloses an organelle or cytoplasmic material and then fuses with a lysosome for degradation."
A protein is misfolded and tagged with polyubiquitin. Which structure is most likely to degrade it?,Primary lysosome only,Golgi cisterna,Proteasome,Nuclear pore,3,,The textbook describes ubiquitin-tagged misfolded proteins as substrates for proteasomal degradation.
A cell needs to move a glucose molecule down its concentration gradient using a specific protein that binds glucose. Which mechanism fits best?,Exocytosis,Carrier-mediated facilitated diffusion,Phagocytosis,Primary active transport,2,,Facilitated diffusion through a carrier moves a solute down its gradient without direct energy expenditure.
A transporter uses the downhill movement of Na+ to drive glucose uphill in the same direction. Which term applies?,Simple diffusion,Primary active antiport,Pinocytosis,Secondary active symport,4,,The textbook gives Na+/glucose transport as a secondary active symport example.
A protein complex directly hydrolyzes ATP to pump ions against their gradient. Which category fits?,Primary active transport,Receptor-mediated endocytosis,Facilitated diffusion,Osmosis,1,,Primary active transport uses ATP directly to drive a pump against a concentration gradient.
A bacterium is enclosed by membrane extensions of a neutrophil. What has formed immediately after internalization?,Crista,Nucleosome,Phagosome,Polysome,3,,Phagocytosis encloses particulate material in a phagosome before lysosomal fusion.
