Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct,Image,Explanation
A patient with Ehlers-Danlos syndrome type IV has a defect affecting which collagen type in the assigned table?,Type II collagen,Type IV collagen,Type I collagen,Type III collagen,4,,Ehlers-Danlos type IV is linked in the assigned table to faulty transcription or translation of type III collagen.
Which complication is explicitly associated with Ehlers-Danlos syndrome type IV in the source table?,Pneumothorax from apical blebs,Aortic or intestinal rupture,Bleeding gums from vitamin C deficiency,Spontaneous fractures only,2,,The source table lists aortic and/or intestinal rupture for Ehlers-Danlos type IV.
A patient has markedly increased skin elasticity and rupture of the eyeball. Which defect listed in the connective-tissue chapter best matches this presentation?,Type III collagen transcription defect,Fibrillin mutation,Faulty lysine hydroxylation,Decreased procollagen peptidase activity,3,,The table links Ehlers-Danlos type VI to faulty lysine hydroxylation and lists increased skin elasticity and rupture of the eyeball.
A patient has increased articular mobility and frequent joint luxations. Which collagen-processing abnormality is listed for this condition?,Fibrillin mutation,Vitamin C deficiency,Excess lysyl oxidase activity,Low procollagen peptidase activity,4,,"Ehlers-Danlos type VII is linked to decreased procollagen peptidase activity, with increased articular mobility and frequent luxation."
Which molecular defect is listed for osteogenesis imperfecta in the assigned collagen table?,Loss of histamine synthesis,A fibrillin-1 deletion in elastic fibers,Defective keratan-sulfate production,Type I collagen gene nucleotide change,4,,The source table describes osteogenesis imperfecta as resulting from a nucleotide change in genes for type I collagen.
Which manifestations are explicitly listed for osteogenesis imperfecta in the assigned source table?,Urticaria and wheezing,Aortic rupture and intestinal rupture,Bleeding gums and hemorrhage,Fractures and cardiac insufficiency,4,,The assigned table lists spontaneous fractures and cardiac insufficiency for osteogenesis imperfecta.
"A nutritionally deprived patient has bruising, perifollicular bleeding, swollen purple spongy gums, loose teeth, fatigue, and muscle weakness. Which mechanism is most consistent with the assigned vignette?",Unstable collagen from vitamin C deficiency,Defective fibrillin scaffold,Overproduction of type III collagen,Excess collagen cross-linking by lysyl oxidase,1,,"The textbook vignette describes scurvy. Vitamin C deficiency impairs collagen hydroxylation, producing unstable collagen helices and tissue fragility."
Which symptom is explicitly listed in the collagen-disorder table for scurvy?,Ectopic lens and pneumothorax,Spontaneous fractures and cardiac insufficiency,Hyperextensible joints with aortic rupture,Ulceration of gums and hemorrhages,4,,The table lists ulceration of gums and hemorrhages as manifestations of scurvy.
Which posttranslational step in collagen synthesis is most directly impaired in scurvy?,Fibronectin binding to integrins,Extracellular cleavage of procollagen ends,Formation of mRNA,Hydroxylation of proline and lysine,4,,Vitamin C is required for proline and lysine hydroxylation in the ER; deficiency disrupts this step.
"A 45-year-old man dies from rupture of an aortic dissection, and genetic analysis reveals a fibrillin defect. Which ECM abnormality is most directly expected?",Actin cannot polymerize,Type IV collagen cannot form basal lamina,Elastic fibers are not correctly formed,Hyaluronic acid cannot bind water,3,,"Fibrillin provides the microfibrillar scaffold required for normal elastic-fiber formation, so defective fibrillin disrupts elastic fibers."
Multi-select: Which findings are shown or labeled in the lecture's Marfan syndrome image?,Ectopic lens or subluxation,Spontaneous bone fractures,Arachnodactyly,Aortic dilation/dissection/rupture,"1,3,4",,"The lecture image depicts arachnodactyly, lens subluxation, and major aortic complications among other features. Spontaneous fractures are listed with osteogenesis imperfecta instead."
Which gene/protein is identified on the lecture Marfan syndrome image?,Aggrecan (ACAN),Fibrillin-1 (FBN1),Laminin alpha chain,Collagen II (COL2A1),2,,The lecture image specifically labels fibrillin-1 and FBN1 in Marfan syndrome.
Which thoracic complication is shown in the lecture's Marfan image in association with apical blebs?,Pleural effusion,Bronchiectasis,Pneumothorax,Pulmonary edema,3,,The Marfan image labels apical blebs and pneumothorax.
A raised scar contains abnormally large amounts of collagen and tends to recur after excision. What condition does the textbook describe?,Urticaria,Keloid,Tendonitis,Edema,2,,A keloid is a local swelling caused by excessive collagen deposition in a scar and may recur after surgical removal.
"A patient develops pain and swelling at the Achilles tendon after overuse, with reduced range of motion. Which condition named in the textbook best fits?",Keloid,Tendonitis,Scurvy,Marfan syndrome,2,,"The chapter describes tendonitis after overuse, commonly involving the Achilles tendon, elbow, or rotator cuff, with localized pain and swelling that restrict movement."
Which mechanism explains swelling during acute inflammation in the connective-tissue chapter?,Loss of all plasma proteins from the liver,Increased permeability and interstitial fluid,Increased collagen banding periodicity,Conversion of fibroblasts into adipocytes,2,,"Inflammatory mediators increase vascular permeability, allowing more fluid into connective tissue and producing edema."
A person is exposed to an allergen for the second time and rapidly develops an immediate hypersensitivity response. Which cellular event initiates rapid mediator release?,Type I collagen hydroxylation,Aggrecan attachment to hyaluronan,Cross-linking of mast-cell-bound IgE,Monocyte conversion into macrophage,3,,"On re-exposure, allergen cross-links mast-cell-bound IgE, activating signaling and degranulation."
Multi-select: Which source-listed features can occur during mast-cell-mediated immediate hypersensitivity?,Swelling,Redness,Spontaneous fractures,Itching,"1,2,4",,"The lecture's skin reaction figure shows redness, itching, and swelling after mast-cell mediator release. Spontaneous fractures are associated with osteogenesis imperfecta."
A patient has low alpha-1 antitrypsin and elevated urinary desmosine/isodesmosine in the textbook vignette. What normal function do desmosine and isodesmosine serve?,Binding IgE to mast cells,Linking aggrecan to hyaluronan,Hydroxylating collagen,Cross-linking elastin,4,,"The vignette tests that desmosine and isodesmosine are elastin cross-links, which help stabilize elastic fibers while preserving elasticity."
Which source-listed disorder results from defective degradation of GAGs in lysosomes?,Hurler syndrome,Marfan syndrome,Ehlers-Danlos type IV,Osteogenesis imperfecta,1,,The textbook names Hurler syndrome among disorders caused by deficiencies of lysosomal hydrolases needed for GAG degradation.
Which statement about the GAG-storage disorders named in the chapter is safest and most source-faithful?,All are caused by vitamin C deficiency,The chapter provides a full inheritance pattern and imaging findings for each,All are caused by fibrillin mutations,Lysosomal GAG defects; symptoms not detailed,4,,"The assigned excerpt names Hurler, Hunter, Sanfilippo, and Morquio syndromes and links them to lysosomal enzyme deficiencies, but does not provide detailed symptom sets in this chapter."
Which combination best matches the source material on scurvy?,Fibrillin defect; elastic-fiber failure; ectopic lens,Type III collagen defect; aortic and intestinal rupture,Type I collagen mutation; spontaneous fractures,Vitamin C deficiency; impaired hydroxylation; gum bleeding,4,,"Scurvy is caused by vitamin C deficiency, which impairs collagen hydroxylation; the sources explicitly list gum disease and hemorrhagic manifestations."
Which combination best matches Ehlers-Danlos type VII in the assigned table?,Type I collagen mutation; spontaneous fractures,Vitamin C deficiency; bleeding gums,Low procollagen peptidase; joint hypermobility,Fibrillin mutation; aortic aneurysm,3,,Ehlers-Danlos type VII is linked to decreased procollagen peptidase activity and increased articular mobility with frequent luxation.
Which combination best matches Ehlers-Danlos type VI?,Type III collagen defect; intestinal rupture,Faulty lysine hydroxylation; skin hyperelasticity,Type I collagen mutation; fractures,Fibrillin mutation; lens subluxation,2,,The assigned table links Ehlers-Danlos type VI to faulty lysine hydroxylation with increased skin elasticity and rupture of the eyeball.
Which combination best matches Marfan syndrome as presented in the lecture?,Vitamin C deficiency; unstable collagen; gum bleeding,Fibrillin defect; abnormal elastic fibers; aortic disease,Type III collagen defect; intestinal rupture,Procollagen peptidase defect; joint luxation,2,,"The lecture connects Marfan syndrome to fibrillin-1, defective elastic-fiber formation, and major cardiovascular manifestations such as aortic dilation, dissection, or rupture."
